feature,importance
V270_clip_low,0
V270_isna,0
V277_clip_high,0
V277_clip_low,0
V277_isna,0
V276_clip_high,0
V276_clip_low,0
V276_isna,0
V275_clip_high,0
V275_clip_low,0
V275_isna,0
V274_clip_high,0
V274_clip_low,0
V274_isna,0
V51_isna,0
V50_clip_low,0
V281_clip_low,0
V50_isna,0
V280_clip_high,0
V280_clip_low,0
V280_isna,0
TransactionAmt_clip_high,0
V49_clip_low,0
V279_clip_low,0
V279_isna,0
V278_clip_high,0
V278_clip_low,0
V278_isna,0
V286_clip_high,0
V286_clip_low,0
V286_isna,0
V49_isna,0
V285_clip_high,0
V285_clip_low,0
V285_isna,0
V284,0
V56_clip_low,0
V284_clip_low,0
V284_isna,0
V283_clip_low,0
V55_clip_low,0
D4_clip_low,0
V55_isna,0
V31_clip_high,0
V31_clip_low,0
V31_isna,0
V30_clip_high,0
V30_clip_low,0
V30_isna,0
V29_clip_low,0
V29_isna,0
V17_clip_high,0
V17_clip_low,0
V17_isna,0
V16,0
V54_clip_low,0
V16_clip_low,0
V16_isna,0
V23_clip_high,0
D3_clip_low,0
D2_clip_high,0
D2_clip_low,0
V54_isna,0
V338_clip_low,0
D9_clip_high,0
V283_isna,0
V53_clip_low,0
V282_clip_low,0
V290_clip_high,0
V290_clip_low,0
V290_isna,0
V289_clip_low,0
V289_isna,0
V61_isna,0
V288_clip_low,0
V288_isna,0
V60_clip_low,0
V60_isna,0
V59_clip_low,0
V287_clip_low,0
V287_isna,0
V59_isna,0
V294_clip_low,0
V294_isna,0
V58_clip_low,0
V293_clip_low,0
V293_isna,0
card2_clip_low,0
V292_clip_high,0
V292_clip_low,0
V292_isna,0
V58_isna,0
V291_clip_high,0
V57,0
V291_clip_low,0
V291_isna,0
V57_clip_low,0
V298_clip_high,0
V298_clip_low,0
V298_isna,0
V297_clip_high,0
V297_clip_low,0
V297_isna,0
V65_isna,0
V296_clip_low,0
V296_isna,0
V64_clip_low,0
V295_clip_high,0
V295_clip_low,0
V295_isna,0
V263_isna,0
V64_isna,0
V302_clip_low,0
V302_isna,0
V63_clip_low,0
V301_clip_low,0
V301_isna,0
V63_isna,0
V300_clip_low,0
V300_isna,0
V62_clip_low,0
V299_clip_high,0
V299_clip_low,0
V299_isna,0
V62_isna,0
V306_clip_low,0
V306_isna,0
V305,0
V305_clip_high,0
V305_clip_low,0
V305_isna,0
V339_clip_high,0
V61_clip_low,0
V304_clip_low,0
V304_isna,0
V339_clip_low,0
