feature,importance
V284_clip_low,0
V284_clip_high,0
D12_clip_low,0
V285_isna,0
V285_clip_low,0
D12_clip_high,0
D13_clip_low,0
V286_isna,0
V286_clip_low,0
V286_clip_high,0
V119_isna,0
V287_isna,0
V287_clip_low,0
V287_clip_high,0
V118,0
V288_isna,0
V288_clip_low,0
V288_clip_high,0
C1_clip_high,0
V289_isna,0
V289_clip_low,0
V118_clip_high,0
D13_clip_high,0
V290_isna,0
V290_clip_low,0
D14_clip_low,0
V118_clip_low,0
V291_isna,0
V291_clip_low,0
D14_clip_high,0
D15_clip_low,0
V292_isna,0
V292_clip_low,0
D15_clip_high,0
C3_clip_low,0
V293_isna,0
V153_isna,0
V1_clip_low,0
V118_isna,0
V294_isna,0
V294_clip_low,0
V1_clip_high,0
V117,0
V295_isna,0
V295_clip_low,0
V295_clip_high,0
V117_clip_high,0
V296_isna,0
V296_clip_low,0
V296_clip_high,0
V117_clip_low,0
V297_isna,0
V297_clip_low,0
V1,0
V117_isna,0
V298_isna,0
V298_clip_low,0
V116_clip_high,0
V116_clip_low,0
V299_isna,0
V299_clip_low,0
V299_clip_high,0
V116_isna,0
V300_isna,0
V300_clip_low,0
V2_clip_high,0
V115_clip_high,0
V301_isna,0
V301_clip_low,0
V3_isna,0
V115_clip_low,0
V302_isna,0
V302_clip_low,0
V3_clip_low,0
V4_isna,0
V303_isna,0
V303_clip_low,0
V4_clip_low,0
C3,0
V304_isna,0
V304_clip_low,0
V304_clip_high,0
C4_clip_low,0
V305_isna,0
V305_clip_low,0
V305_clip_high,0
V305,0
V306_isna,0
V306_clip_low,0
V306_clip_high,0
V155_clip_low,0
V307_isna,0
V307_clip_low,0
V5_isna,0
C5_clip_low,0
V308_isna,0
V308_clip_low,0
V5_clip_low,0
V115_isna,0
V309_isna,0
V309_clip_low,0
V114,0
V114_clip_high,0
V310_isna,0
V310_clip_low,0
V310_clip_high,0
C6_clip_low,0
V311_isna,0
V311_clip_low,0
V114_clip_low,0
V114_isna,0
V312_isna,0
V312_clip_low,0
V312_clip_high,0
C6_clip_high,0
V313_isna,0
V313_clip_low,0
V113,0
C7_clip_low,0
V314_isna,0
V314_clip_low,0
V5_clip_high,0
V6_isna,0
V315_isna,0
V315_clip_low,0
V113_clip_high,0
C8_clip_low,0
V316_isna,0
V316_clip_low,0
V316_clip_high,0
V113_clip_low,0
V317_isna,0
V317_clip_low,0
V6_clip_low,0
V7_isna,0
V318_isna,0
V318_clip_low,0
V318_clip_high,0
V113_isna,0
V319_isna,0
V319_clip_low,0
V319_clip_high,0
V112,0
V320_isna,0
V320_clip_low,0
V7_clip_low,0
V112_clip_low,0
V321_isna,0
V321_clip_low,0
V8_isna,0
V112_isna,0
V322_isna,0
V322_clip_low,0
V322_clip_high,0
V8_clip_low,0
V323_isna,0
V323_clip_low,0
V323_clip_high,0
V111,0
V324_isna,0
V324_clip_low,0
